2026.05.19 - 12.39.46

creationTime:Wed Apr 01 00:00:00 UTC 2026-Wed Apr 01 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Input	 2026-04-01 00:00:11.893	 FF	 ANA2914	 [DRZZZQZX]	 DRZZZQZX	 311159	 EDDFETHX	  	 ANA2914	 349.1775001611.0	 	  	 FPL	   	   	   	 (FPL-ETH3848-IS-B77L/H-SDE1E3FGHIJ1J2J3J4J5J7LM1OP1P2P3RVWXY/HB1D1-FAOR0230-N0495F320 DCT VASUR UZ21 ITROL UQ25 RUDAS UT941 ANIPO/N0492F340 UT941 VNA/M083F340 UG853 OPAPO/N0493F340 DCT TETUX/M083F340 DCT 01S005E DCT GANBI/N0487F360 UY149 BUMBO DCT ANUVO UP685 BKO/N0487F350 UB727 SEPAT SEPAT2G-GABS0708 DFFD-PBN/A1B1C1D1L1O1S2 SUR/EGPWS WXRD RSP180 DOF/260401 REG/ETAWE EET/FBGR0020 FYWF0114 FNAN0117 VNA0246 OPAPO0301 TETUX0316 FCCC0323 DGAC0354 01S005E0409 GANBI0457 DIII0536 DRRR0559 GOOO0603 SEL/CSFL CODE/040168 OPR/ETHIOPIAN AIRLINES PER/D RALT/FZQA FOOL RVR/075 RMK/TCAS CARGO OPS)
Output	 2026-04-01 00:00:11.898	 FF	 ANA2914	 [DRRNYDYX  DRRNZPZX]	 DRRNYDYX	 311159	 EDDFETHX	 ASS_LOCALE	 PNC002	 349.1775001611.0	 	  	 FPL	   	   	   	   
Output	 2026-04-01 00:00:11.899	 FF	 ANA2914	 [DRRRZQZX]	 DRRRZQZX	 311159	 EDDFETHX	 CCR_OUEST	 ZQN007	 349.1775001611.0	 	  	 FPL	   	   	   	   
Output	 2026-04-01 00:00:11.9	 FF	 ANA2914	 [DRRNZTZX]	 DRRNZTZX	 311159	 EDDFETHX	 TWR	 ZTN002	 349.1775001611.0	 	  	 FPL	   	   	   	   
Input	 2026-04-01 00:00:14.693	 FF	 ANA2915	 [DBBBFPLX  DGACFPLX  DIIIZQZX]	 DBBBFPLX	 311159	 EDDFETHX	  	 ANA2915	 349.1775001614.2	 	  	 FPL	   	   	   	 (FPL-ETH3848-IS-B77L/H-SDE1E3FGHIJ1J2J3J4J5J7LM1OP1P2P3RVWXY/HB1D1-FAOR0230-N0495F320 DCT VASUR UZ21 ITROL UQ25 RUDAS UT941 ANIPO/N0492F340 UT941 VNA/M083F340 UG853 OPAPO/N0493F340 DCT TETUX/M083F340 DCT 01S005E DCT GANBI/N0487F360 UY149 BUMBO DCT ANUVO UP685 BKO/N0487F350 UB727 SEPAT SEPAT2G-GABS0708 DFFD-PBN/A1B1C1D1L1O1S2 SUR/EGPWS WXRD RSP180 DOF/260401 REG/ETAWE EET/FBGR0020 FYWF0114 FNAN0117 VNA0246 OPAPO0301 TETUX0316 FCCC0323 DGAC0354 01S005E0409 GANBI0457 DIII0536 DRRR0559 GOOO0603 SEL/CSFL CODE/040168 OPR/ETHIOPIAN AIRLINES PER/D RALT/FZQA FOOL RVR/075 RMK/TCAS CARGO OPS)
Output	 2026-04-01 00:00:14.699	 FF	 ANA2915	 [DGACFPLX]	 DGACFPLX	 311159	 EDDFETHX	 ACCRA	 NGA003	 349.1775001614.2	 	  	 FPL	   	   	   	   
Output	 2026-04-01 00:00:24.167	 FF	 349.1775001611.0	 [DBBBZRZX  DFFDZPCX  DFFDZPZX  DFFDZQZX  DFFDZTZX  DFFFZOUA  DFFFZQZX  DXXXZQZX  GOOVXKXX]	 DBBBZRZX	 311159	 EDDFETHX	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260401000023Z-0005:previd=349.1775001611.0	 349.1775001611.0	 	  	 FPL	   	   	   	   
Output	 2026-04-01 00:00:26.304	 FF	 349.1775001614.2	 [DBBBFPLX  DIIIZQZX]	 DBBBFPLX	 311159	 EDDFETHX	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260401000026Z-0007:previd=349.1775001614.2	 349.1775001614.2	 	  	 FPL	   	   	   	   
Output	 2026-04-01 00:01:01.441	 FF	 349.1775001611.0	 [DRRNYDYX  DRRNZPZX  DRRRFDPB  DRRRFDPI]	 DRRNYDYX	 311159	 EDDFETHX	 TOPSKY-ATC	 SLT0002	 349.1775001611.0	 	  	 FPL	   	   	   	   
Output	 2026-04-01 00:01:11.277	 FF	 384.1775001243.210	 [CYSJAENX]	 CYSJAENX	 311154	 FTTTFDPA	 ALGER	 NAA0011	 316.1775001671.1	 	  	 FPL	   	   	   	   
