2026.05.19 - 13.39.27

creationTime:Thu Apr 02 00:00:00 UTC 2026-Thu Apr 02 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Input	 2026-04-02 11:02:53.088	 FF	 HNA335	 [FZAAZPZX  FCPPZPZX  FZZAZQZX  FCCCZQZX  FCBBZTZX  FCBBZBZX  FCZZZQZX]	 FZAAZPZX	 021102	 HAABYOYX	  	 HNA335	 349.1775127773.54	 	  	 FPL	   	   	   	 (FPL-ETH3841-IS<CR><LF>-B738/M-SDE1FGHILORVWXY/HB1<CR><LF>-HAAB1330<CR><LF>-N0454F360 BENDO1A BENDO L432 EKBUL DCT PATAR UN553 NALOS UT136 BUN<CR><LF>UH1 MONEN/N0450F380 UH1 KGI UB535 KSA DCT BZ/N0378F240 B732 IT DCT<CR><LF>-FCPP0419 FZAA<CR><LF>-PBN/A1B1C1D1L1O1S1S2 SUR/EPGW S WXRD DOF/260402 REG/ETAYL<CR><LF>EET/HKNA0048 HUEC0103 FZZA0133 FCCC0346 FZZA0406 FNAN0407 FCCC0415<CR><LF>SEL/CJAS OPR/ETHIOPIAN AIRLINES PER/D RALT/HRYR FZAA RMK/TCAS CARGO<CR><LF>FLIGHT)
Output	 2026-04-02 11:02:53.126	 FF	 349.1775127773.54	 [FZAAZPZX  FCPPZPZX  FZZAZQZX  FCCCZQZX  FCBBZTZX  FCBBZBZX  FCZZZQZX]	 FZAAZPZX	 021102	 HAABYOYX	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260402110253Z-0030:previd=349.1775127773.54	 349.1775127773.54	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:02:53.924	 FF	 349.1775127773.54	 [FZAAZPZX]	 FZAAZPZX	 021102	 HAABYOYX	 MTA-FCCC-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260402110253Z-0030	 ac5M3QA1KhQe	 	 MTCU-DRRR-1-20260402110253Z-0030:previd=349.1775127773.54*/CN=HAABYOYX/OU=HAAB/O=HAAB/PRMD=HA/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-02 11:03:18.32	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 [GOOVXKXX]	 GOOVXKXX	 021101	 DXXXZPZX	  	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 ac5M9gAVvDwT	 	 489649E20000019D3DEE43149FB9*/OU=DXXXZPZX/O=AFTN/PRMD=DX/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-SKK038-IS<CR><LF>-B738/M-SDE1FGHILORVWXY/HB1<CR><LF>-DXXX1335<CR><LF>-N0452F370 LM UL433 TYE UA601 KIPSA/N0452F370 UA60 ARDEX/N0453F370 <CR><LF>DCT MBO DCT DLA<CR><LF>-FKKD0121 FKYS<CR><LF>-PBN/A1B1C1D1L1O1S1S2 SUR/EGPW S WXRD DOF/260402 REG/ETBAG<CR><LF>EET/DNKK0016 FCCC0101 SEL/DKGP OPR/ASKY AIRLINES PER/D RMK/TCAS)
Output	 2026-04-02 11:03:19.713	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 [GOOVXKXX]	 GOOVXKXX	 021101	 DXXXZPZX	 MTA-GOOO-1	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 ac5M9gAVvDwT	 	 489649E20000019D3DEE43149FB9*/OU=DXXXZPZX/O=AFTN/PRMD=DX/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-02 11:04:13.334	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 [CYSJAENX]	 CYSJAENX	 021101	 DXXXZPZX	  	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 ac5NLQDh5T0J	 	 489649E20000019D3DEE43149FB9*/OU=DXXXZPZX/O=AFTN/PRMD=DX/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-SKK038-IS<CR><LF>-B738/M-SDE1FGHILORVWXY/HB1<CR><LF>-DXXX1335<CR><LF>-N0452F370 LM UL433 TYE UA601 KIPSA/N0452F370 UA60 ARDEX/N0453F370 <CR><LF>DCT MBO DCT DLA<CR><LF>-FKKD0121 FKYS<CR><LF>-PBN/A1B1C1D1L1O1S1S2 SUR/EGPW S WXRD DOF/260402 REG/ETBAG<CR><LF>EET/DNKK0016 FCCC0101 SEL/DKGP OPR/ASKY AIRLINES PER/D RMK/TCAS)
Output	 2026-04-02 11:04:13.55	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 [CYSJAENX]	 CYSJAENX	 021101	 DXXXZPZX	 ALGER	 NAA2031	 384.1775127853.559	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:04:13.552	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 [CYSJAENX]	 CYSJAENX	 021101	 DXXXZPZX	 AMH	 /PRMD=DX/ADMD=ICAO/C=XX/;tg-lfw-cn2.2692775-260402.110121	 ac5NLQDh5T0J	 	 489649E20000019D3DEE43149FB9*/OU=DXXXZPZX/O=AFTN/PRMD=DX/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-02 11:04:24.032	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402110301Z-9872	 [KIADMHYA]	 KIADMHYA	 021104	 FTTTFDPA	 ALGER	 NAA2033	 384.1775127864.570	 	  	 FPL	   	   	   	   
Output	 2026-04-02 11:04:33.361	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;MTCU-FTTT-1-20260402110301Z-9872	 [HLLLZQZX]	 HLLLZQZX	 021104	 FTTTFDPA	 TRIPOLI	 NLA332	 384.1775127873.573	 	  	 FPL	   	   	   	   
