2026.05.19 - 14.12.20

creationTime:Sat Apr 04 00:00:00 UTC 2026-Sat Apr 04 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Output	 2026-04-04 00:00:00.735	 FF	 349.1775260799.5865	 [DIIIZQZX]	 DIIIZQZX	 031159	 EDDFUAEK	 MTA-DIII-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260403235959Z-4793	 adBUfwCVR6a5	 	 MTCU-DRRR-1-20260403235959Z-4793:previd=349.1775260799.5865*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:01.36	 FF	 349.1775260799.5865	 [GOOVXKXX]	 GOOVXKXX	 031159	 EDDFUAEK	 MTA-GOOO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260403235959Z-4793	 adBUfwCVR6a5	 	 MTCU-DRRR-1-20260403235959Z-4793:previd=349.1775260799.5865*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:01.45	 FF	 349.1775260799.5865	 [DXXXZQZX]	 DXXXZQZX	 031159	 EDDFUAEK	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260403235959Z-4793	 adBUfwCVR6a5	 	 MTCU-DRRR-1-20260403235959Z-4793:previd=349.1775260799.5865*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:01.588	 FF	 349.1775260799.5865	 [DFFDZPCX]	 DFFDZPCX	 031159	 EDDFUAEK	 MTA-DFFF-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260403235959Z-4793	 adBUfwCVR6a5	 	 MTCU-DRRR-1-20260403235959Z-4793:previd=349.1775260799.5865*/CN=EDDFUAEK/OU=EDDF/O=EDGG/PRMD=GERMANY/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-04 00:00:11.732	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [CYSJAENX  DFFDZQZX  DFFDZTZX  DFOOZPZX  DFOOZTZX  DRRNZPZX  DRRNZTZX  DRZZZQZX  KIADMHYA]	 CYSJAENX	 041200	 DIAPZPZX	  	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwAP2I0h	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-DAH5318-IS<CR><LF>-B736/M-SDE1FGHIJ1M1RWY/LB1<CR><LF>-DIAP0055<CR><LF>-N0456F370 AD UG859 ONARI DCT IDORO DCT AMSAT UG859 TUMUT TUMU3P<CR><LF>-DFFD0108 DGAA<CR><LF>-PBN/B1C1D1O1S1 DOF/260404 REG/7TVJQ EET/DGAC0035 DRRR0051 SEL/HLDP<CR><LF>CODE/0A0024 OPR/DAH RMK/TCAS EQUIPPED RVR/175)
Output	 2026-04-04 00:00:11.746	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DRRNZPZX]	 DRRNZPZX	 041200	 DIAPZPZX	 DRRNZPZX	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwAP2I0h	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:11.767	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DRRNZTZX]	 DRRNZTZX	 041200	 DIAPZPZX	 DRRNZTZX	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwAP2I0h	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:11.896	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DRZZZQZX]	 DRZZZQZX	 041200	 DIAPZPZX	 AMH	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwAP2I0h	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:11.905	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DRRNZPZX]	 DRRNZPZX	 041200	 DIAPZPZX	 DRRNZPZX	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwA=9pkA	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:11.928	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DRRRZQZX]	 DRRRZQZX	 041200	 DIAPZPZX	 DRRRZQZX	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwA=9pkA	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-04 00:00:12.037	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 [DRRRFDPI]	 DRRRFDPI	 041200	 DIAPZPZX	 AMH	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30E961D34CEEE	 adBUiwA=9pkA	 	 LOC-ID:00E30E961D34CF98*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
