2026.05.19 - 14.24.58

creationTime:Sun Apr 05 00:00:00 UTC 2026-Sun Apr 05 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Output	 2026-04-05 00:00:37.047	 FF	 349.1775347236.12129	 [DIIIZQZX]	 DIIIZQZX	 051200	 EKODFFLX	 MTA-DIII-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260405000036Z-0548	 adGmJACVRzo0	 	 MTCU-DRRR-1-20260405000036Z-0548:previd=349.1775347236.12129*/CN=EKODFFLX/OU=EKOD/O=EKCH/PRMD=DENMARK/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-05 00:00:47.039	 FF	 349.1775347245.12130	 [DFFDZPCX]	 DFFDZPCX	 051201	 DNMMZPZX	 MTA-DFFF-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260405000045Z-0549	 adGmLQCVR4Q1	 	 MTCU-DRRR-1-20260405000045Z-0549:previd=349.1775347245.12130*/CN=DNMMZPZX/OU=DNMM/O=DNMM/PRMD=DN/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-05 00:00:47.041	 FF	 349.1775347245.12130	 [GOOVXKXX]	 GOOVXKXX	 051201	 DNMMZPZX	 MTA-GOOO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260405000045Z-0549	 adGmLQCVR4Q1	 	 MTCU-DRRR-1-20260405000045Z-0549:previd=349.1775347245.12130*/CN=DNMMZPZX/OU=DNMM/O=DNMM/PRMD=DN/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-05 00:00:58.718	 FF	 349.1775347245.12130	 [DXXXZQZX]	 DXXXZQZX	 051201	 DNMMZPZX	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260405000045Z-0549	 adGmLQCVR4Q1	 	 MTCU-DRRR-1-20260405000045Z-0549:previd=349.1775347245.12130*/CN=DNMMZPZX/OU=DNMM/O=DNMM/PRMD=DN/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-05 00:00:58.725	 FF	 349.1775347245.12130	 [DBBBZRZX]	 DBBBZRZX	 051201	 DNMMZPZX	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260405000045Z-0549	 adGmLQCVR4Q1	 	 MTCU-DRRR-1-20260405000045Z-0549:previd=349.1775347245.12130*/CN=DNMMZPZX/OU=DNMM/O=DNMM/PRMD=DN/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-05 00:01:50.047	 FF	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260405000037Z-2350	 [DRRNFDPB]	 DRRNFDPB	 051201	 GQNOFDPA	  	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260405000037Z-2350	 adGmbgAS7QTn	 	 MTCU-GQNO-1-20260405000037Z-2350:previd=341.1775347237.1906*/OU=GQNOFDPA/O=AFTN/PRMD=GQ/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-DTA653/A1320-IS-B77W/H-SDE1FGHIJ1J5M1RWY/LD1-LPPT2135-N0480F350<CR><LF> DUZOP DCT OBOLO DCT AMSEL UR722 MAK UM372 BULIS UR866 OG UR983 GAPAK<CR><LF> UA400 NATAR DCT VNA DCT VBJ-FNBJ0656 FZAA-PBN/B1C1D1O1S1 DOF/260404<CR><LF> REG/D2TEI EET/GMMM0028 GQNN0133 GCCC0134 GOOO0140 DRRR0254 SEL/LPAB<CR><LF> CODE/0900DB OPR/TAAG ANGOLA AIRLINES ORGN/LPPTZTZA RALT/GMAD DXXX<CR><LF> RMK/EDTO FLT UNDER 180 MIN RULE CALL SIGN ANGOLA 653)
Output	 2026-04-05 00:01:50.179	 FF	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260405000037Z-2350	 [DRRNFDPB]	 DRRNFDPB	 051201	 GQNOFDPA	 AMH	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260405000037Z-2350	 adGmbgAS7QTn	 	 MTCU-GQNO-1-20260405000037Z-2350:previd=341.1775347237.1906*/OU=GQNOFDPA/O=AFTN/PRMD=GQ/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-05 00:06:04.5	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;MTCU-DXXX-1-20260405000547Z-5909	 [DRRRFDPB]	 DRRRFDPB	 041113	 DXXXFDPA	  	 /PRMD=DX/ADMD=ICAO/C=XX/;MTCU-DXXX-1-20260405000547Z-5909	 adGnbACVa2DY	 	 MTCU-DXXX-1-20260405000547Z-5909:previd=341.1775344381.1562*/OU=DXXXFDPA/O=AFTN/PRMD=DX/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-ITY853/A3513-IG-A21N/M-SWY/C-DGAA2225-N0468F330 LIPUS IPORI<CR><LF> BATIA NY-LIRF0020-DOF/260404 REG/EIHXB EET/DXXX0035)
Output	 2026-04-05 00:06:04.798	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;MTCU-DXXX-1-20260405000547Z-5909	 [DRRRFDPB]	 DRRRFDPB	 041113	 DXXXFDPA	 AMH	 /PRMD=DX/ADMD=ICAO/C=XX/;MTCU-DXXX-1-20260405000547Z-5909	 adGnbACVa2DY	 	 MTCU-DXXX-1-20260405000547Z-5909:previd=341.1775344381.1562*/OU=DXXXFDPA/O=AFTN/PRMD=DX/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-05 00:06:11.776	 FF	 /PRMD=DX/ADMD=ICAO/C=XX/;MTCU-DXXX-1-20260405000603Z-5910	 [DRRRYFYX]	 DRRRYFYX	 041113	 DXXXFDPA	  	 /PRMD=DX/ADMD=ICAO/C=XX/;MTCU-DXXX-1-20260405000603Z-5910	 adGncwCVa5fZ	 	 MTCU-DXXX-1-20260405000603Z-5910:previd=341.1775344381.1563*/OU=DXXXFDPA/O=AFTN/PRMD=DX/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-ITY853/A3513-IG-A21N/M-SWY/C-DGAA2225-N0468F330 LIPUS IPORI<CR><LF> BATIA NY-LIRF0020-DOF/260404 REG/EIHXB EET/DXXX0035)
Input	 2026-04-05 00:07:32.465	 FF	 /PRMD=FT/ADMD=ICAO/C=XX/;td-ndj-cn1.0153601-260405.000617	 [HAABZTZX  HAABZPZX  HDAMZTZX  HUECZQZX  HAAAZQZX]	 HAABZTZX	 051205	 FTTJZPZX	  	 /PRMD=FT/ADMD=ICAO/C=XX/;td-ndj-cn1.0153601-260405.000617	 adGnxABttFcF	 	 C034E6620000019D51FE5B78852F*/OU=FTTJZPZX/O=AFTN/PRMD=FT/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-DAH5370-IS<CR><LF>-B737/M-SDE1FGHIJ1M1RWY/LB1<CR><LF>-FTTJ0025<CR><LF>-N0443F370 UT325 BUN UT136 GOTOD/N0438F380 UB527 OVELA B527 JUB B535<CR><LF>DAGAP/N0436F370 B535 KOFTA KOFT7A<CR><LF>-HAAB0427 HDAM<CR><LF>-PBN/B1C1D1O1S2 DOF/260405 REG/7TVKT EET/FCCC0101 FZZA0144 HUEC0249<CR><LF>HSSS0304 HAAA0338 SEL/QSFP CODE/0A0093 TALT/FKKD RMK/TCAS EQUIPPED<CR><LF>RVR/175)
