2026.05.20 - 09.23.33

creationTime:Thu Apr 09 00:00:00 UTC 2026-Thu Apr 09 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Input	 2026-04-09 00:00:36.163	 FF	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260408235633Z-5386	 [DRRRFDPB]	 DRRRFDPB	 091200	 GQNOFDPA	  	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260408235633Z-5386	 adbsJABORA4D	 	 MTCU-GQNO-1-20260408235633Z-5386:previd=341.1775692593.4445*/OU=GQNOFDPA/O=AFTN/PRMD=GQ/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-DTA653/A1336-IS-B77W/H-SWYDE1FGHIJ1J5M1R/LD1-LPPT2135-N0489F350<CR><LF> 3606N00759W DCT BULIS UR866 ULPAK UR866 OG UR983 GAPAK UA400 NATAR<CR><LF> DCT KODOR DCT VBD DCT VBJ-FNBJ0756-PBN/B1C1D1O1S1 DOF/260408<CR><LF> REG/D2TEJ EET/GMMM0033 GOOO0145 GCCC0146 GQNN0152 DRRR0314 SEL/AEBP<CR><LF> CODE/0900F0 OPR/TAAG ANGOLA AIRLINES ORGN/EKBICPUF RALT/GMAD DXXX<CR><LF> RMK/EDTO 180 MIN RULES)
Output	 2026-04-09 00:00:36.285	 FF	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260408235633Z-5386	 [DRRRFDPB]	 DRRRFDPB	 091200	 GQNOFDPA	 AMH	 /PRMD=GQ/ADMD=ICAO/C=XX/;MTCU-GQNO-1-20260408235633Z-5386	 adbsJABORA4D	 	 MTCU-GQNO-1-20260408235633Z-5386:previd=341.1775692593.4445*/OU=GQNOFDPA/O=AFTN/PRMD=GQ/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-09 00:03:09.573	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [CYSJAENX  DAAAZTZX  DAAGZPZX  DAAGZTZX  DABCZTZX  DAOOZQZX  DRZZZQZX  KIADMHYA]	 CYSJAENX	 091203	 DIAPZPZX	  	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQBKJ2pb	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	 (FPL-DAH5322-IS<CR><LF>-B736/M-SDE1FGHIJ1M1RWY/LB1<CR><LF>-DIAP0235<CR><LF>-N0443F370 AD UG859 OG UQ594 DAMNA UY212 EREBO/N0433F360 UA604 TMS<CR><LF>UA615 GHA/N0418F370 UM989 BSA UJ66 ALR DCT<CR><LF>-DAAG0507 DABC<CR><LF>-PBN/B1C1D1O1S1 DOF/260409 REG/7TVJT EET/DGAC0035 DRRR0051 DAAA0234<CR><LF>SEL/HLGS CODE/0A0027 OPR/DAH RMK/TCAS EQUIPPED RVR/175)
Output	 2026-04-09 00:03:09.667	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [DRZZZQZX]	 DRZZZQZX	 091203	 DIAPZPZX	 AMH	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQBKJ2pb	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:09.678	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [DRRNZPZX]	 DRRNZPZX	 091203	 DIAPZPZX	 DRRNZPZX	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQCnTnkA	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:09.691	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [DRRRZQZX]	 DRRRZQZX	 091203	 DIAPZPZX	 DRRRZQZX	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQCnTnkA	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:09.832	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [CYSJAENX]	 CYSJAENX	 091203	 DIAPZPZX	 AMH	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQBKJ2pb	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:09.835	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [DRRRFDPI]	 DRRRFDPI	 091203	 DIAPZPZX	 AMH	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQCnTnkA	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:11.039	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [DBBBZRZX]	 DBBBZRZX	 091203	 DIAPZPZX	 MTA-DXXX-1	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQCnTnkA	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:11.379	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [DFFFZQZX]	 DFFFZQZX	 091203	 DIAPZPZX	 MTA-DFFF-1	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQCnTnkA	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:11.487	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [DXXXZQZX]	 DXXXZQZX	 091203	 DIAPZPZX	 MTA-DXXX-1	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQCnTnkA	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:23.578	 FF	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 [GOOVXKXX]	 GOOVXKXX	 091203	 DIAPZPZX	 MTA-GOOO-1	 /PRMD=DI/ADMD=ICAO/C=XX/;MTA-DIII-1-MTCU:00E30EFABD035D07	 adbsvQCnTnkA	 	 LOC-ID:00E30EFABD035D73*/OU=DIAPZPZX/O=AFTN/PRMD=DI/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:24.313	 FF	 349.1775693003.2562	 [DBBBFPLX]	 DBBBFPLX	 091203	 EUCHZMFP	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260409000323Z-2473	 adbsywA-zAup	 	 MTCU-DRRR-1-20260409000323Z-2473:previd=349.1775693003.2562*/CN=EUCHZMFP/OU=EUCH/O=EUROCONTROL-NMH/PRMD=EUROPE/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:24.967	 FF	 349.1775693003.2562	 [DFFDZPCX]	 DFFDZPCX	 091203	 EUCHZMFP	 MTA-DFFF-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260409000323Z-2473	 adbsywA-zAup	 	 MTCU-DRRR-1-20260409000323Z-2473:previd=349.1775693003.2562*/CN=EUCHZMFP/OU=EUCH/O=EUROCONTROL-NMH/PRMD=EUROPE/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:25.139	 FF	 349.1775693003.2562	 [DXXXZQZX]	 DXXXZQZX	 091203	 EUCHZMFP	 MTA-DXXX-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260409000323Z-2473	 adbsywA-zAup	 	 MTCU-DRRR-1-20260409000323Z-2473:previd=349.1775693003.2562*/CN=EUCHZMFP/OU=EUCH/O=EUROCONTROL-NMH/PRMD=EUROPE/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-09 00:03:32.073	 FF	 349.1775693003.2562	 [GOOVXKXX]	 GOOVXKXX	 091203	 EUCHZMFP	 MTA-GOOO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260409000323Z-2473	 adbsywA-zAup	 	 MTCU-DRRR-1-20260409000323Z-2473:previd=349.1775693003.2562*/CN=EUCHZMFP/OU=EUCH/O=EUROCONTROL-NMH/PRMD=EUROPE/ADMD=ICAO/C=XX/	 FPL	   	   
