2026.05.20 - 10.39.09

creationTime:Fri Apr 10 00:00:00 UTC 2026-Fri Apr 10 23:59:59 UTC 2026 ,messageType:FPL 
Direction	 Temps de Création	 Prio	 FamilyId	 Destinataires	 First Recipient Address	 FilTim	 Origine	 Circuit	 EMID	 IMID	 Incomplete Pathname	 IPM Identificateur	 Type	 First Reported Recipient	 Code du Motif	 Code de Diagnostic	 Texte
Input	 2026-04-10 00:00:21.685	 FF	 ANA2514	 [FMEEZPZX  FMEEZTZX  FMMDYAYX  FMMMFDPA  FMMMZQZX  FSSSZQZX]	 FMEEZPZX	 101200	 LFBOAFMI	  	 ANA2514	 349.1775779221.1555	 	  	 FPL	   	   	   	 (FPL-AFR647-IS<CR><LF>-B77W/H-SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1<CR><LF>-FMEE0450<CR><LF>-N0503F300 UVENA2J UVENA UN304 MIDRI/N0501F320 UN304 DWA DCT XADOX<CR><LF> DCT KONET/N0498F330 UG650 RASKA/N0495F340 T513 EGMEG/N0494F330<CR><LF> G660 JDW/N0493F340 L677 CVO/N0479F360 L617 TANSA DCT LATAN DCT<CR><LF> AOSTA DCT ORSUD DCT MOLUS DCT UNKIR DCT GIVRI DCT TINIL TINIL9E<CR><LF>-LFPG1128 LFPO<CR><LF>-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSP2PDC CPDLCX SUR/260B<CR><LF> RSP180 CANMANDATE DOF/260410 REG/FGZNL EET/FSSS0130 HCSM0248<CR><LF> HAAA0329 HHAA0450 OEJD0523 HECC0639 LGGG0800 LIBB0911 LIRR1000<CR><LF> LIMM1011 LSAS1044 LFFF1049 LSAS1050 LFFF1054 SEL/CPDQ CODE/3965AB<CR><LF> OPR/AFR PER/D RALT/FMEE HDAM RVR/075 RMK/ACAS TCAS OVERFLT PERM<CR><LF> NBR HH ER-CAA-0496-2026 OE 202681134NK FI DCA 095 2026)
Output	 2026-04-10 00:00:21.713	 FF	 349.1775779221.1555	 [FMEEZPZX  FMEEZTZX  FMMDYAYX  FMMMFDPA  FMMMZQZX  FSSSZQZX]	 FMEEZPZX	 101200	 LFBOAFMI	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000021Z-1546:previd=349.1775779221.1555	 349.1775779221.1555	 	  	 FPL	   	   	   	   
Input	 2026-04-10 00:04:44.235	 FF	 341.1775779484.368	 [GQNNFDPA]	 GQNNFDPA	 101204	 DRRRFDPB	  	 LST0012	 341.1775779484.368	 	  	 FPL	   	   	   	 (FPL-AFR149/A5307-IS-B772/H-SDE2E3FGHIJ3J5M1RWXYZ/LB1D1-DNMM2255<CR><LF><CR><LF>-N0492F360 POLTO1Q POLTO DCT BIKAB UA608 KELEX UR984 OG UR866<CR><LF><CR><LF> VOLBU/N0485F380 UR866 ULPAK/N0483F360 UR866 BULIS/N0483F360 DCT<CR><LF><CR><LF> MABAP UR722 SAK UG5 KORIS L27 VJF DCT SVL DCT HIJ DCT<CR><LF><CR><LF> RUSEM/N0476F380 DCT SOTUK DCT USOKO DCT TLD DCT SIE DCT EDIGO DCT<CR><LF><CR><LF> DGO L176 LUSEM DCT LULUT DCT POI/N0448F300 DCT PEPAX UT182 KEPER<CR><LF><CR><LF> KEPER9W-LFPG0608 LFPO-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSP2PDC<CR><LF><CR><LF> CPDLCX SUR/260B CANMANDATE DOF/260409 REG/FGSPG EET/DGAC0008<CR><LF><CR><LF> DRRR0049 SEL/GMHL CODE/3949E6 OPR/AFR PER/C RALT/GOBD)
Output	 2026-04-10 00:04:44.26	 FF	 341.1775779484.368	 [GQNNFDPA]	 GQNNFDPA	 101204	 DRRRFDPB	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000444Z-1556:previd=341.1775779484.368	 341.1775779484.368	 	  	 FPL	   	   	   	   
Input	 2026-04-10 00:04:44.286	 FF	 341.1775779484.369	 [GQNNFDPB]	 GQNNFDPB	 101204	 DRRRFDPB	  	 LST0013	 341.1775779484.369	 	  	 FPL	   	   	   	 (FPL-AFR149/A5307-IS-B772/H-SDE2E3FGHIJ3J5M1RWXYZ/LB1D1-DNMM2255<CR><LF><CR><LF>-N0492F360 POLTO1Q POLTO DCT BIKAB UA608 KELEX UR984 OG UR866<CR><LF><CR><LF> VOLBU/N0485F380 UR866 ULPAK/N0483F360 UR866 BULIS/N0483F360 DCT<CR><LF><CR><LF> MABAP UR722 SAK UG5 KORIS L27 VJF DCT SVL DCT HIJ DCT<CR><LF><CR><LF> RUSEM/N0476F380 DCT SOTUK DCT USOKO DCT TLD DCT SIE DCT EDIGO DCT<CR><LF><CR><LF> DGO L176 LUSEM DCT LULUT DCT POI/N0448F300 DCT PEPAX UT182 KEPER<CR><LF><CR><LF> KEPER9W-LFPG0608 LFPO-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSP2PDC<CR><LF><CR><LF> CPDLCX SUR/260B CANMANDATE DOF/260409 REG/FGSPG EET/DGAC0008<CR><LF><CR><LF> DRRR0049 SEL/GMHL CODE/3949E6 OPR/AFR PER/C RALT/GOBD)
Output	 2026-04-10 00:04:44.302	 FF	 341.1775779484.369	 [GQNNFDPB]	 GQNNFDPB	 101204	 DRRRFDPB	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000444Z-1557:previd=341.1775779484.369	 341.1775779484.369	 	  	 FPL	   	   	   	   
Input	 2026-04-10 00:04:44.344	 FF	 341.1775779484.370	 [GQNNZQZX]	 GQNNZQZX	 101204	 DRRRFDPB	  	 LST0014	 341.1775779484.370	 	  	 FPL	   	   	   	 (FPL-AFR149/A5307-IS-B772/H-SDE2E3FGHIJ3J5M1RWXYZ/LB1D1-DNMM2255<CR><LF><CR><LF>-N0492F360 POLTO1Q POLTO DCT BIKAB UA608 KELEX UR984 OG UR866<CR><LF><CR><LF> VOLBU/N0485F380 UR866 ULPAK/N0483F360 UR866 BULIS/N0483F360 DCT<CR><LF><CR><LF> MABAP UR722 SAK UG5 KORIS L27 VJF DCT SVL DCT HIJ DCT<CR><LF><CR><LF> RUSEM/N0476F380 DCT SOTUK DCT USOKO DCT TLD DCT SIE DCT EDIGO DCT<CR><LF><CR><LF> DGO L176 LUSEM DCT LULUT DCT POI/N0448F300 DCT PEPAX UT182 KEPER<CR><LF><CR><LF> KEPER9W-LFPG0608 LFPO-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSP2PDC<CR><LF><CR><LF> CPDLCX SUR/260B CANMANDATE DOF/260409 REG/FGSPG EET/DGAC0008<CR><LF><CR><LF> DRRR0049 SEL/GMHL CODE/3949E6 OPR/AFR PER/C RALT/GOBD)
Output	 2026-04-10 00:04:44.36	 FF	 341.1775779484.370	 [GQNNZQZX]	 GQNNZQZX	 101204	 DRRRFDPB	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000444Z-1558:previd=341.1775779484.370	 341.1775779484.370	 	  	 FPL	   	   	   	   
Input	 2026-04-10 00:04:44.396	 FF	 341.1775779484.371	 [GQNNZIZX]	 GQNNZIZX	 101204	 DRRRFDPB	  	 LST0015	 341.1775779484.371	 	  	 FPL	   	   	   	 (FPL-AFR149/A5307-IS-B772/H-SDE2E3FGHIJ3J5M1RWXYZ/LB1D1-DNMM2255<CR><LF><CR><LF>-N0492F360 POLTO1Q POLTO DCT BIKAB UA608 KELEX UR984 OG UR866<CR><LF><CR><LF> VOLBU/N0485F380 UR866 ULPAK/N0483F360 UR866 BULIS/N0483F360 DCT<CR><LF><CR><LF> MABAP UR722 SAK UG5 KORIS L27 VJF DCT SVL DCT HIJ DCT<CR><LF><CR><LF> RUSEM/N0476F380 DCT SOTUK DCT USOKO DCT TLD DCT SIE DCT EDIGO DCT<CR><LF><CR><LF> DGO L176 LUSEM DCT LULUT DCT POI/N0448F300 DCT PEPAX UT182 KEPER<CR><LF><CR><LF> KEPER9W-LFPG0608 LFPO-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSP2PDC<CR><LF><CR><LF> CPDLCX SUR/260B CANMANDATE DOF/260409 REG/FGSPG EET/DGAC0008<CR><LF><CR><LF> DRRR0049 SEL/GMHL CODE/3949E6 OPR/AFR PER/C RALT/GOBD)
Output	 2026-04-10 00:04:44.411	 FF	 341.1775779484.371	 [GQNNZIZX]	 GQNNZIZX	 101204	 DRRRFDPB	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000444Z-1559:previd=341.1775779484.371	 341.1775779484.371	 	  	 FPL	   	   	   	   
Output	 2026-04-10 00:04:45.552	 FF	 341.1775779484.368	 [GQNNFDPA]	 GQNNFDPA	 101204	 DRRRFDPB	 MTA-GQNO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000444Z-1556	 adg-nADASjAU	 	 MTCU-DRRR-1-20260410000444Z-1556:previd=341.1775779484.368*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-10 00:04:46.85	 FF	 341.1775779484.370	 [GQNNZQZX]	 GQNNZQZX	 101204	 DRRRFDPB	 MTA-GQNO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000444Z-1558	 adg-nADASkYW	 	 MTCU-DRRR-1-20260410000444Z-1558:previd=341.1775779484.370*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-10 00:04:48.142	 FF	 341.1775779484.371	 [GQNNZIZX]	 GQNNZIZX	 101204	 DRRRFDPB	 MTA-GQNO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000444Z-1559	 adg-nADASlAX	 	 MTCU-DRRR-1-20260410000444Z-1559:previd=341.1775779484.371*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Output	 2026-04-10 00:04:49.565	 FF	 341.1775779484.369	 [GQNNFDPB]	 GQNNFDPB	 101204	 DRRRFDPB	 MTA-GQNO-1	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000444Z-1557	 adg-nADASjoV	 	 MTCU-DRRR-1-20260410000444Z-1557:previd=341.1775779484.369*/OU=DRRRFDPB/O=AFTN/PRMD=DR/ADMD=ICAO/C=XX/	 FPL	   	   
Input	 2026-04-10 00:05:10.501	 FF	 341.1775779510.373	 [GQNNFDPA]	 GQNNFDPA	 101205	 DRRRFDPB	  	 LST0017	 341.1775779510.373	 	  	 FPL	   	   	   	 (FPL-AFR805/A5326-IS-B772/H-SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1-DBBB2320<CR><LF><CR><LF>-N0487F360 DCT SEMEB PAMPA UR983 OG UR866 BULIS/N0476F360 DCT MABAP<CR><LF><CR><LF> UR722 SAK UG5 KORIS/N0475F370 DCT SVL/N0474F380 DCT HIJ DCT RUSEM<CR><LF><CR><LF> DCT SOTUK DCT USOKO DCT TLD DCT SIE DCT EDIGO DCT DGO L176 LUSEM DCT<CR><LF><CR><LF> LULUT DCT POI/N0451F300 DCT PEPAX UT182 KEPER KEPER9W-LFPG0606 LFPO<CR><LF><CR><LF>-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSP2PDC CPDLCX SUR/260B RSP180<CR><LF><CR><LF> CANMANDATE DOF/260409 REG/FGSPU EET/DRRR0046 SEL/DJBK CODE/3949F4<CR><LF><CR><LF> RVR/075 OPR/AFR PER/C RALT/GOBD)
Output	 2026-04-10 00:05:10.528	 FF	 341.1775779510.373	 [GQNNFDPA]	 GQNNFDPA	 101205	 DRRRFDPB	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000510Z-1561:previd=341.1775779510.373	 341.1775779510.373	 	  	 FPL	   	   	   	   
Input	 2026-04-10 00:05:10.553	 FF	 341.1775779510.374	 [GQNNFDPB]	 GQNNFDPB	 101205	 DRRRFDPB	  	 LST0018	 341.1775779510.374	 	  	 FPL	   	   	   	 (FPL-AFR805/A5326-IS-B772/H-SDE2E3FGHIJ3J5M1P2RWXYZ/LB1D1-DBBB2320<CR><LF><CR><LF>-N0487F360 DCT SEMEB PAMPA UR983 OG UR866 BULIS/N0476F360 DCT MABAP<CR><LF><CR><LF> UR722 SAK UG5 KORIS/N0475F370 DCT SVL/N0474F380 DCT HIJ DCT RUSEM<CR><LF><CR><LF> DCT SOTUK DCT USOKO DCT TLD DCT SIE DCT EDIGO DCT DGO L176 LUSEM DCT<CR><LF><CR><LF> LULUT DCT POI/N0451F300 DCT PEPAX UT182 KEPER KEPER9W-LFPG0606 LFPO<CR><LF><CR><LF>-PBN/A1B1C1D1L1O1S2T1 NAV/RNP2 DAT/1FANSP2PDC CPDLCX SUR/260B RSP180<CR><LF><CR><LF> CANMANDATE DOF/260409 REG/FGSPU EET/DRRR0046 SEL/DJBK CODE/3949F4<CR><LF><CR><LF> RVR/075 OPR/AFR PER/C RALT/GOBD)
Output	 2026-04-10 00:05:10.57	 FF	 341.1775779510.374	 [GQNNFDPB]	 GQNNFDPB	 101205	 DRRRFDPB	 AMH	 /PRMD=DR/ADMD=ICAO/C=XX/;MTCU-DRRR-1-20260410000510Z-1562:previd=341.1775779510.374	 341.1775779510.374	 	  	 FPL	   	   	   	   
