fr24_id,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,flight,callsign,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,query_timestamp_utc
3f41b1a0,13.57961,2.00929,232,5850,207,-512,2304,2026-04-17T04:01:58Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:06:54Z,2026-04-17T04:02:00+00:00
3f41b1a0,13.57291,2.00298,216,5775,205,-640,2304,2026-04-17T04:02:07Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:06:54Z,2026-04-17T04:02:10+00:00
3f41b1a0,13.56304,1.9985,194,5600,205,-1024,2304,2026-04-17T04:02:19Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:06Z,2026-04-17T04:02:20+00:00
3f41b1a0,13.55516,1.99752,181,5425,206,-1536,2304,2026-04-17T04:02:28Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:06Z,2026-04-17T04:02:30+00:00
3f41b1a0,13.54582,1.99797,176,5200,204,-1344,2304,2026-04-17T04:02:37Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:06Z,2026-04-17T04:02:40+00:00
3f41b1a0,13.53734,1.99845,177,5000,203,-1536,2304,2026-04-17T04:02:47Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:06Z,2026-04-17T04:02:50+00:00
3f41b1a0,13.52692,1.9989,177,4725,202,-1600,2304,2026-04-17T04:02:57Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:06Z,2026-04-17T04:03:00+00:00
3f41b1a0,13.51737,1.99932,177,4450,203,-1600,2304,2026-04-17T04:03:07Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:01Z,2026-04-17T04:03:10+00:00
3f41b1a0,13.50655,1.99984,177,4175,203,-896,2304,2026-04-17T04:03:19Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:01Z,2026-04-17T04:03:20+00:00
3f41b1a0,13.49702,2.00036,176,4000,202,-960,2304,2026-04-17T04:03:29Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:01Z,2026-04-17T04:03:30+00:00
3f41b1a0,13.48888,2.00216,158,3850,199,-960,2304,2026-04-17T04:03:38Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:01Z,2026-04-17T04:03:40+00:00
3f41b1a0,13.48183,2.00714,135,3725,193,-832,2304,2026-04-17T04:03:47Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:01Z,2026-04-17T04:03:50+00:00
3f41b1a0,13.4765,2.01599,110,3525,186,-960,2304,2026-04-17T04:04:00Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:01Z,2026-04-17T04:04:00+00:00
3f41b1a0,13.47501,2.02423,94,3425,178,-384,2304,2026-04-17T04:04:08Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:07:01Z,2026-04-17T04:04:10+00:00
3f41b1a0,13.47519,2.03181,86,3375,176,-448,2304,2026-04-17T04:04:18Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:06:48Z,2026-04-17T04:04:20+00:00
3f41b1a0,13.47565,2.03981,87,3275,178,-896,2304,2026-04-17T04:04:27Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:06:48Z,2026-04-17T04:04:30+00:00
3f41b1a0,13.47599,2.04765,87,3125,176,-960,2304,2026-04-17T04:04:37Z,ADSB,TK635,THY635,4BB065,B38M,TC-LCE,THY,THY,IST,LTFM,NIM,DRRN,2026-04-17T04:06:48Z,2026-04-17T04:04:40+00:00
