fr24_id,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,flight,callsign,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,query_timestamp_utc
3a0a2501,13.07231,0.77179,71,23875,363,-1600,3567,2025-04-24T16:58:59Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:23:25Z,2025-04-24T16:59:00+00:00
3a0a2501,13.07932,0.79294,71,23525,360,-1600,3567,2025-04-24T16:59:12Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:23:25Z,2025-04-24T16:59:10+00:00
3a0a2501,13.08458,0.80909,71,23250,358,-1536,3567,2025-04-24T16:59:22Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:23:25Z,2025-04-24T16:59:20+00:00
3a0a2501,13.08797,0.81948,71,23100,357,-1536,3567,2025-04-24T16:59:28Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:23:25Z,2025-04-24T16:59:30+00:00
3a0a2501,13.09309,0.8352,71,22850,356,-1472,3567,2025-04-24T16:59:38Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:23:25Z,2025-04-24T16:59:40+00:00
3a0a2501,13.09957,0.85486,71,22525,353,-1600,3567,2025-04-24T16:59:50Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:23:25Z,2025-04-24T16:59:50+00:00
3a0a2501,13.10399,0.86825,71,22300,352,-1536,3567,2025-04-24T16:59:59Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:22:45Z,2025-04-24T17:00:00+00:00
3a0a2501,13.11031,0.88743,71,22000,349,-1536,3567,2025-04-24T17:00:11Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:22:45Z,2025-04-24T17:00:10+00:00
3a0a2501,13.11405,0.89881,71,21800,348,-1536,3567,2025-04-24T17:00:19Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:22:45Z,2025-04-24T17:00:20+00:00
3a0a2501,13.11972,0.91591,71,21525,345,-1472,3567,2025-04-24T17:00:29Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:22:45Z,2025-04-24T17:00:30+00:00
3a0a2501,13.12438,0.93018,71,21300,344,-1472,3567,2025-04-24T17:00:38Z,ADSB,KP46,SKK046,04005D,B738,ET-APM,SKK,ETH,OUA,DFFD,NIM,DRRN,2025-04-24T17:22:45Z,2025-04-24T17:00:40+00:00
