fr24_id,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,flight,callsign,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,query_timestamp_utc
3f02375d,13.4817,2.17156,87,0,34,0,5320,2026-04-01T02:48:59Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:49:00+00:00
3f02375d,13.48186,2.17504,84,0,86,0,5320,2026-04-01T02:49:09Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:49:10+00:00
3f02375d,13.48209,2.17997,86,800,128,0,5320,2026-04-01T02:49:17Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:49:20+00:00
3f02375d,13.48242,2.18841,88,1025,158,2560,5320,2026-04-01T02:49:29Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:49:30+00:00
3f02375d,13.48265,2.19495,87,1450,158,3136,5320,2026-04-01T02:49:38Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:49:40+00:00
3f02375d,13.48416,2.20086,67,1900,145,3520,5320,2026-04-01T02:49:47Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:49:50+00:00
3f02375d,13.48819,2.20678,53,2500,135,2624,5320,2026-04-01T02:49:58Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:50:00+00:00
3f02375d,13.49149,2.21124,52,2775,144,1152,5320,2026-04-01T02:50:06Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:50:10+00:00
3f02375d,13.49652,2.21777,52,2950,164,960,5320,2026-04-01T02:50:17Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:50:20+00:00
3f02375d,13.50182,2.22565,56,3175,185,1024,5320,2026-04-01T02:50:28Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:50:30+00:00
3f02375d,13.50746,2.23487,58,3475,205,2176,5320,2026-04-01T02:50:40Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:50:40+00:00
3f02375d,13.51208,2.24258,58,3775,217,1792,5320,2026-04-01T02:50:49Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:50:50+00:00
3f02375d,13.51728,2.25119,58,4100,228,2688,5320,2026-04-01T02:50:58Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:51:00+00:00
3f02375d,13.52298,2.26053,57,4575,233,3008,5320,2026-04-01T02:51:08Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:51:10+00:00
3f02375d,13.5285,2.26954,57,5075,236,3136,5320,2026-04-01T02:51:17Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:51:20+00:00
3f02375d,13.53516,2.28037,57,5625,239,2624,5320,2026-04-01T02:51:29Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:51:30+00:00
3f02375d,13.54074,2.28942,57,5950,251,1280,5320,2026-04-01T02:51:38Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:51:40+00:00
3f02375d,13.54647,2.29879,57,6100,267,1024,5320,2026-04-01T02:51:47Z,ADSB,AH5703,DAH5703,0A0018,B738,7T-VJJ,DAH,DAH,NIM,DRRN,,,,2026-04-01T02:51:50+00:00
