fr24_id,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,flight,callsign,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,query_timestamp_utc
3f426029,13.48172,2.17197,87,0,59,0,0,2026-04-17T02:20:59Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:21:00+00:00
3f426029,13.48185,2.17465,87,0,90,0,0,2026-04-17T02:21:06Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:21:10+00:00
3f426029,13.48219,2.18216,87,950,140,0,0,2026-04-17T02:21:19Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:21:20+00:00
3f426029,13.48255,2.18965,86,1000,172,1344,0,2026-04-17T02:21:30Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:21:30+00:00
3f426029,13.48283,2.19625,88,1275,175,2496,0,2026-04-17T02:21:37Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:21:40+00:00
3f426029,13.48325,2.20456,84,1675,173,2688,0,2026-04-17T02:21:47Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:21:50+00:00
3f426029,13.48586,2.21209,60,2050,166,1856,0,2026-04-17T02:21:57Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:22:00+00:00
3f426029,13.49284,2.21842,31,2475,161,2048,0,2026-04-17T02:22:09Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:22:10+00:00
3f426029,13.5001,2.22044,5,2800,161,1536,0,2026-04-17T02:22:19Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:22:20+00:00
3f426029,13.50764,2.21914,340,3075,165,1728,0,2026-04-17T02:22:29Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:22:30+00:00
3f426029,13.51323,2.21567,322,3325,169,1664,0,2026-04-17T02:22:38Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:22:40+00:00
3f426029,13.51863,2.21129,320,3575,171,1984,0,2026-04-17T02:22:47Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:22:50+00:00
3f426029,13.52641,2.20456,319,4000,172,1856,0,2026-04-17T02:22:59Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,,2026-04-17T02:23:00+00:00
3f426029,13.53166,2.19996,319,4250,174,1536,0,2026-04-17T02:23:08Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:23:10+00:00
3f426029,13.53776,2.19476,320,4425,185,768,0,2026-04-17T02:23:18Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:23:20+00:00
3f426029,13.545,2.18874,321,4625,197,1344,0,2026-04-17T02:23:28Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:23:30+00:00
3f426029,13.55196,2.1831,321,4800,207,896,0,2026-04-17T02:23:38Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:23:40+00:00
3f426029,13.56111,2.17572,321,4975,223,1152,0,2026-04-17T02:23:49Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:23:50+00:00
3f426029,13.56988,2.16879,322,5175,236,1088,0,2026-04-17T02:23:59Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:24:00+00:00
3f426029,13.57845,2.16199,322,5325,250,960,0,2026-04-17T02:24:09Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:24:10+00:00
3f426029,13.58835,2.15408,321,5500,264,1024,0,2026-04-17T02:24:19Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:24:20+00:00
3f426029,13.59773,2.14655,321,5800,272,2304,0,2026-04-17T02:24:29Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:24:30+00:00
3f426029,13.60785,2.13836,321,6175,276,2432,0,2026-04-17T02:24:39Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:24:40+00:00
3f426029,13.61779,2.13034,321,6575,279,2560,0,2026-04-17T02:24:48Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:24:50+00:00
3f426029,13.62817,2.12188,321,7025,279,2688,0,2026-04-17T02:24:59Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:25:00+00:00
3f426029,13.63449,2.11676,321,7300,280,2688,0,2026-04-17T02:25:05Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:25:10+00:00
3f426029,13.64981,2.10432,321,7950,283,2432,0,2026-04-17T02:25:20Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:25:20+00:00
3f426029,13.6581,2.09752,321,8275,285,2560,0,2026-04-17T02:25:28Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:25:30+00:00
3f426029,13.66809,2.08939,321,8675,288,2496,0,2026-04-17T02:25:37Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:25:40+00:00
3f426029,13.67849,2.0809,321,9125,288,3072,0,2026-04-17T02:25:47Z,ADSB,AT546,RAM546P,02019F,B38M,CN-RHD,RAM,RAM,NIM,DRRN,CMN,GMMN,2026-04-17T05:56:16Z,2026-04-17T02:25:50+00:00
