fr24_id,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,flight,callsign,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,query_timestamp_utc
3f26cbc1,13.48164,2.17024,90,0,10,0,5320,2026-04-10T06:01:59Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,,2026-04-10T06:02:00+00:00
3f26cbc1,13.48171,2.17152,87,0,49,0,5320,2026-04-10T06:02:09Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,,2026-04-10T06:02:10+00:00
3f26cbc1,13.48185,2.17443,87,0,86,0,5320,2026-04-10T06:02:17Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,,2026-04-10T06:02:20+00:00
3f26cbc1,13.48213,2.18035,87,800,133,0,5320,2026-04-10T06:02:29Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,,2026-04-10T06:02:30+00:00
3f26cbc1,13.48242,2.18737,87,800,168,384,5320,2026-04-10T06:02:38Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,,2026-04-10T06:02:40+00:00
3f26cbc1,13.4826,2.19471,88,1075,171,2816,5320,2026-04-10T06:02:47Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,,2026-04-10T06:02:50+00:00
3f26cbc1,13.48283,2.20498,87,1700,166,2688,5320,2026-04-10T06:03:00Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,,2026-04-10T06:03:00+00:00
3f26cbc1,13.4832,2.21201,85,2050,167,1984,5320,2026-04-10T06:03:09Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,,2026-04-10T06:03:10+00:00
3f26cbc1,13.48375,2.21867,84,2275,171,1088,5320,2026-04-10T06:03:17Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,2026-04-10T07:49:20Z,2026-04-10T06:03:20+00:00
3f26cbc1,13.48466,2.22809,84,2500,179,960,5320,2026-04-10T06:03:28Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,2026-04-10T07:49:20Z,2026-04-10T06:03:30+00:00
3f26cbc1,13.48562,2.23745,83,2700,191,1344,5320,2026-04-10T06:03:39Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,2026-04-10T07:49:20Z,2026-04-10T06:03:40+00:00
3f26cbc1,13.48651,2.2455,83,2875,200,1024,5320,2026-04-10T06:03:48Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,2026-04-10T07:49:20Z,2026-04-10T06:03:50+00:00
3f26cbc1,13.48773,2.25703,84,3050,213,832,5320,2026-04-10T06:03:59Z,ADSB,TK635,THY635,4BB06A,B38M,TC-LCJ,THY,THY,NIM,DRRN,NDJ,FTTJ,2026-04-10T07:51:28Z,2026-04-10T06:04:00+00:00
