fr24_id,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,flight,callsign,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,query_timestamp_utc
3f29ad06,12.76799,-0.61282,265,36025,426,0,5307,2026-04-10T20:59:58Z,ADSB,TK522,THY522,4BB06F,B38M,TC-LCO,THY,THY,NIM,DRRN,BKO,GABS,2026-04-10T22:13:20Z,2026-04-10T21:00:00+00:00
3f29ad06,12.76341,-0.67547,265,36025,425,-64,5307,2026-04-10T21:00:29Z,ADSB,TK522,THY522,4BB06F,B38M,TC-LCO,THY,THY,NIM,DRRN,BKO,GABS,2026-04-10T22:13:20Z,2026-04-10T21:00:30+00:00
3f296308,14.11404,-0.94018,101,33000,535,0,1031,2026-04-10T21:00:28Z,ADSB,EK795,UAE795,89611E,B77W,A6-ECW,UAE,UAE,DSS,GOBD,DXB,OMDB,2026-04-11T03:33:20Z,2026-04-10T21:00:30+00:00
3f296308,14.09881,-0.86137,101,33000,536,0,1031,2026-04-10T21:01:00Z,ADSB,EK795,UAE795,89611E,B77W,A6-ECW,UAE,UAE,DSS,GOBD,DXB,OMDB,2026-04-11T03:33:20Z,2026-04-10T21:01:00+00:00
3f29ad06,12.75893,-0.73736,265,36025,424,-64,5307,2026-04-10T21:01:00Z,ADSB,TK522,THY522,4BB06F,B38M,TC-LCO,THY,THY,NIM,DRRN,BKO,GABS,2026-04-10T22:11:12Z,2026-04-10T21:01:00+00:00
3f29ad06,12.75461,-0.7967,265,36025,423,0,5307,2026-04-10T21:01:29Z,ADSB,TK522,THY522,4BB06F,B38M,TC-LCO,THY,THY,NIM,DRRN,BKO,GABS,2026-04-10T22:11:12Z,2026-04-10T21:01:30+00:00
3f296308,14.08466,-0.78832,101,33000,536,0,1031,2026-04-10T21:01:29Z,ADSB,EK795,UAE795,89611E,B77W,A6-ECW,UAE,UAE,DSS,GOBD,DXB,OMDB,2026-04-11T03:33:20Z,2026-04-10T21:01:30+00:00
3f296308,14.07056,-0.71601,101,33000,536,0,1031,2026-04-10T21:01:58Z,ADSB,EK795,UAE795,89611E,B77W,A6-ECW,UAE,UAE,DSS,GOBD,DXB,OMDB,2026-04-11T03:33:20Z,2026-04-10T21:02:00+00:00
3f29ad06,12.75046,-0.85409,265,36025,422,64,5307,2026-04-10T21:01:58Z,ADSB,TK522,THY522,4BB06F,B38M,TC-LCO,THY,THY,NIM,DRRN,BKO,GABS,2026-04-10T22:11:12Z,2026-04-10T21:02:00+00:00
3f29ad06,12.74602,-0.9157,265,36025,421,-64,5307,2026-04-10T21:02:29Z,ADSB,TK522,THY522,4BB06F,B38M,TC-LCO,THY,THY,NIM,DRRN,BKO,GABS,2026-04-10T22:11:12Z,2026-04-10T21:02:30+00:00
