fr24_id,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,flight,callsign,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,query_timestamp_utc
3f40b3d4,14.03229,12.46683,164,38975,470,0,2014,2026-04-16T22:40:28Z,ADSB,VS478,VIR478,4073CE,B789,G-VBEL,VIR,VIR,LHR,EGLL,CPT,FACT,2026-04-17T04:52:16Z,2026-04-16T22:40:30+00:00
3f40b3d4,14.00958,12.47332,164,39000,470,0,2014,2026-04-16T22:40:38Z,ADSB,VS478,VIR478,4073CE,B789,G-VBEL,VIR,VIR,LHR,EGLL,CPT,FACT,2026-04-17T04:52:16Z,2026-04-16T22:40:40+00:00
3f40a1eb,13.23466,12.72554,349,38000,488,0,7333,2026-04-16T22:40:38Z,ADSB,DE2289,CFG289,3C7A4E,A339,D-ANRN,CFG,CFG,JNB,FAOR,FRA,EDDF,2026-04-17T03:41:52Z,2026-04-16T22:40:40+00:00
3f40b3d4,13.99026,12.47886,164,38975,470,0,2014,2026-04-16T22:40:48Z,ADSB,VS478,VIR478,4073CE,B789,G-VBEL,VIR,VIR,LHR,EGLL,CPT,FACT,2026-04-17T04:52:16Z,2026-04-16T22:40:50+00:00
3f40a1eb,13.25624,12.72136,349,38000,487,0,7333,2026-04-16T22:40:48Z,ADSB,DE2289,CFG289,3C7A4E,A339,D-ANRN,CFG,CFG,JNB,FAOR,FRA,EDDF,2026-04-17T03:41:52Z,2026-04-16T22:40:50+00:00
3f40b3d4,13.97116,12.48432,164,39000,470,0,2014,2026-04-16T22:40:57Z,ADSB,VS478,VIR478,4073CE,B789,G-VBEL,VIR,VIR,LHR,EGLL,CPT,FACT,2026-04-17T04:52:16Z,2026-04-16T22:41:00+00:00
3f40a1eb,13.28018,12.71639,347,38000,486,0,7333,2026-04-16T22:40:59Z,ADSB,DE2289,CFG289,3C7A4E,A339,D-ANRN,CFG,CFG,JNB,FAOR,FRA,EDDF,2026-04-17T03:41:52Z,2026-04-16T22:41:00+00:00
3f40b3d4,13.95096,12.49011,164,39000,470,0,2014,2026-04-16T22:41:06Z,ADSB,VS478,VIR478,4073CE,B789,G-VBEL,VIR,VIR,LHR,EGLL,CPT,FACT,2026-04-17T04:54:24Z,2026-04-16T22:41:10+00:00
3f40a1eb,13.29942,12.71171,345,38000,484,0,7333,2026-04-16T22:41:07Z,ADSB,DE2289,CFG289,3C7A4E,A339,D-ANRN,CFG,CFG,JNB,FAOR,FRA,EDDF,2026-04-17T03:41:52Z,2026-04-16T22:41:10+00:00
3f40b3d4,13.92595,12.49728,164,39000,470,0,2014,2026-04-16T22:41:19Z,ADSB,VS478,VIR478,4073CE,B789,G-VBEL,VIR,VIR,LHR,EGLL,CPT,FACT,2026-04-17T04:54:24Z,2026-04-16T22:41:20+00:00
3f40a1eb,13.3239,12.70484,344,38000,483,0,7333,2026-04-16T22:41:19Z,ADSB,DE2289,CFG289,3C7A4E,A339,D-ANRN,CFG,CFG,JNB,FAOR,FRA,EDDF,2026-04-17T03:41:52Z,2026-04-16T22:41:20+00:00
3f40b3d4,13.90553,12.50312,164,39000,470,0,2014,2026-04-16T22:41:28Z,ADSB,VS478,VIR478,4073CE,B789,G-VBEL,VIR,VIR,LHR,EGLL,CPT,FACT,2026-04-17T04:54:24Z,2026-04-16T22:41:30+00:00
3f40a1eb,13.34738,12.69797,344,38000,483,0,7333,2026-04-16T22:41:29Z,ADSB,DE2289,CFG289,3C7A4E,A339,D-ANRN,CFG,CFG,JNB,FAOR,FRA,EDDF,2026-04-17T03:41:52Z,2026-04-16T22:41:30+00:00
