fr24_id,lat,lon,track,alt,gspeed,vspeed,squawk,timestamp,source,flight,callsign,hex,type,reg,painted_as,operating_as,orig_iata,orig_icao,dest_iata,dest_icao,eta,query_timestamp_utc
3f20f579,11.94942,4.12522,138,35000,457,0,6411,2026-04-09T01:29:58Z,ADSB,AT509,RAM509,0201C2,B38M,CN-RHK,RAM,RAM,CMN,GMMN,NSI,FKYS,2026-04-09T03:01:20Z,2026-04-09T01:30:00+00:00
3f2106e0,14.3366,-0.16007,154,37000,439,0,6433,2026-04-09T01:29:59Z,ADSB,AT267,RAM267,0201C0,B38M,CN-RHI,RAM,RAM,CMN,GMMN,LBV,FOOL,2026-04-09T03:46:08Z,2026-04-09T01:30:00+00:00
3f214c89,15.19302,3.61396,37,38025,490,0,1246,2026-04-09T01:29:57Z,ADSB,TU401,TAR401,02A199,A20N,TS-IMZ,TAR,TAR,ABJ,DIAP,TUN,DTTA,2026-04-09T04:35:12Z,2026-04-09T01:30:00+00:00
3f20f579,11.90289,4.16758,138,34975,458,0,6411,2026-04-09T01:30:28Z,ADSB,AT509,RAM509,0201C2,B38M,CN-RHK,RAM,RAM,CMN,GMMN,NSI,FKYS,2026-04-09T03:01:20Z,2026-04-09T01:30:30+00:00
3f214c89,15.25049,3.65864,37,38025,491,0,1246,2026-04-09T01:30:29Z,ADSB,TU401,TAR401,02A199,A20N,TS-IMZ,TAR,TAR,ABJ,DIAP,TUN,DTTA,2026-04-09T04:35:12Z,2026-04-09T01:30:30+00:00
3f2106e0,14.2793,-0.13193,154,37000,437,0,6433,2026-04-09T01:30:30Z,ADSB,AT267,RAM267,0201C0,B38M,CN-RHI,RAM,RAM,CMN,GMMN,LBV,FOOL,2026-04-09T03:48:16Z,2026-04-09T01:30:30+00:00
3f20f579,11.85555,4.21056,138,34975,458,0,6411,2026-04-09T01:30:57Z,ADSB,AT509,RAM509,0201C2,B38M,CN-RHK,RAM,RAM,CMN,GMMN,NSI,FKYS,2026-04-09T03:01:20Z,2026-04-09T01:31:00+00:00
3f2106e0,14.22615,-0.10584,154,37000,437,0,6433,2026-04-09T01:30:59Z,ADSB,AT267,RAM267,0201C0,B38M,CN-RHI,RAM,RAM,CMN,GMMN,LBV,FOOL,2026-04-09T03:48:16Z,2026-04-09T01:31:00+00:00
3f214c89,15.30293,3.6993,37,38025,490,0,1246,2026-04-09T01:30:57Z,ADSB,TU401,TAR401,02A199,A20N,TS-IMZ,TAR,TAR,ABJ,DIAP,TUN,DTTA,2026-04-09T04:33:04Z,2026-04-09T01:31:00+00:00
3f20f579,11.80495,4.25653,138,34975,458,0,6411,2026-04-09T01:31:29Z,ADSB,AT509,RAM509,0201C2,B38M,CN-RHK,RAM,RAM,CMN,GMMN,NSI,FKYS,2026-04-09T03:01:20Z,2026-04-09T01:31:30+00:00
